hours,0,1-3,4-6,7-9,10-12
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0
6,17.0,0.0,0.0,0.0,0.0
7,1379.0,7.0,0.0,0.0,0.0
8,1370.0,364.0,187.0,1.0,0.0
9,261.0,443.0,1205.0,39.0,0.0
10,510.0,491.0,914.0,20.0,0.0
11,463.0,556.0,634.0,11.0,0.0
12,229.0,469.0,704.0,17.0,0.0
13,228.0,469.0,714.0,8.0,0.0
14,296.0,436.0,671.0,16.0,0.0
15,242.0,476.0,671.0,30.0,0.0
16,272.0,558.0,569.0,20.0,0.0
17,258.0,467.0,683.0,11.0,0.0
18,185.0,498.0,983.0,24.0,0.0
19,337.0,580.0,997.0,21.0,0.0
20,801.0,700.0,417.0,0.0,0.0
21,1009.0,407.0,205.0,0.0,0.0
22,1264.0,112.0,0.0,0.0,0.0
23,304.0,0.0,0.0,0.0,0.0
