hour,count
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,1247
8,10939
9,4031
10,988
11,1150
12,1048
13,1353
14,1496
15,710
16,1383
17,2600
18,2264
19,231
20,87
21,0
22,0
