timeOfDayInSeconds,personId,rideHailVehicleId,waitingTimeInSeconds
23963.0,1902-2016001449407-0155830,rideHailVehicle-1803-2014001004621-382351,134.0
24088.0,1902-2015000587753-0101979,rideHailVehicle-1600-2015000837069-0110020,230.0
24503.0,1902-2016001368397-0153939,rideHailVehicle-1902-2014000492697-071933,276.0
24503.0,1902-2015000207675-095107,rideHailVehicle-1801-2014000994591-081852,276.0
25544.0,10600-2013000532687-342709,rideHailVehicle-1902-2014000537083-073151,354.0
25712.0,202-2012000836407-016692,rideHailVehicle-1001-2012000156497-02805,230.0
25814.0,1901-2015001314717-0120879,rideHailVehicle-1901-2013001092406-053336,234.0
25814.0,1901-2015000207675-095064,rideHailVehicle-1500-2015001311731-1120584,234.0
25857.0,1803-2015000245924-095958,rideHailVehicle-10401-2012000871125-017864,160.0
25857.0,1803-2014000550778-173587,rideHailVehicle-1803-2014000550778-173587,160.0
25857.0,1803-2013000939163-050849,rideHailVehicle-1108-2014001079600-084073,160.0
25857.0,1803-2015000362210-297923,rideHailVehicle-1801-2014000468937-070826,160.0
25857.0,1803-2013001141014-154043,rideHailVehicle-1902-2015000210255-095390,160.0
25857.0,1803-2013000818226-148663,rideHailVehicle-1902-2014000584977-074102,160.0
25857.0,1803-2015000408799-299377,rideHailVehicle-1803-2013000293337-037028,160.0
25857.0,1803-2012001080651-021950,rideHailVehicle-1804-2012001398904-027882,160.0
25546.0,1902-2015000838030-0110211,rideHailVehicle-10104-2015000804471-1107958,516.0
26120.0,10102-2016001120110-2149394,rideHailVehicle-10102-2014000376207-169488,200.0
26120.0,10102-2012000976037-120156,rideHailVehicle-10102-2014000536339-173012,200.0
26120.0,10102-2012000923823-018458,rideHailVehicle-10102-2016000114870-0127319,200.0
26120.0,10102-2016000255662-0130850,rideHailVehicle-10102-2012000529759-010446,200.0
26120.0,10102-2016000699058-0141647,rideHailVehicle-1500-2014001480009-091481,200.0
26120.0,10102-2016001403610-1154315,rideHailVehicle-10102-2016000029416-4125137,200.0
26120.0,10102-2016000610766-1139306,rideHailVehicle-1101-2015001481633-0123482,200.0
26120.0,10102-2015000974765-1113540,rideHailVehicle-1200-2014000747832-076532,200.0
26120.0,10102-2016000928324-0146522,rideHailVehicle-1101-2016000512260-0136960,200.0
26120.0,10102-2015001175837-0117580,rideHailVehicle-1101-2015001225649-0118878,200.0
26120.0,1101-2015000103285-093063,rideHailVehicle-1101-2016000263905-0130968,200.0
26120.0,1101-2015000708879-0104608,rideHailVehicle-10102-2012000845031-017065,200.0
