WaitingTime(sec),Hour
0,1
0,2
0,3
0,4
0,5
0,6
916.0,7
192087.0,8
406934.0,9
28610.0,10
52646.0,11
39408.0,12
71521.0,13
41675.0,14
47527.0,15
62354.0,16
66587.0,17
355856.0,18
65154.0,19
46742.0,20
4280.0,21
0,22
0,23
0,24
0,25
0,26
0,27
0,28
0,29
0,30
0,31
